epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.447,1.62442,2.415,1.34724,0.56098,0.59654,0.58831,0.35632,1.3906,1.24234,1.18691,0.000236558,0.000236558,0.000236558
2,1208.2,1.42652,1.40139,1.24139,0.69691,0.60044,0.62807,0.38687,1.3064,1.12688,1.1506,0.000465161,0.000465161,0.000465161
3,1753.6,1.36892,1.27098,1.20763,0.68537,0.62428,0.6708,0.40277,1.29442,1.04805,1.14454,0.00068434,0.00068434,0.00068434
4,2260.64,1.31112,1.16968,1.18313,0.60505,0.66747,0.68167,0.39065,1.31726,0.97062,1.1532,0.000671588,0.000671588,0.000671588
5,2774.07,1.27746,1.0931,1.17217,0.65753,0.7059,0.689,0.40501,1.25902,0.93815,1.13158,0.000657451,0.000657451,0.000657451
6,3283.27,1.25203,1.0505,1.15306,0.68653,0.66177,0.70714,0.43405,1.25308,0.92147,1.1139,0.000643314,0.000643314,0.000643314
7,3782.05,1.22678,0.99069,1.14272,0.65202,0.76961,0.72289,0.44279,1.20685,0.89359,1.10227,0.000629177,0.000629177,0.000629177
8,4279.6,1.20722,0.96371,1.13494,0.70963,0.75274,0.75132,0.43782,1.22304,0.84232,1.10595,0.00061504,0.00061504,0.00061504
9,4848.97,1.19477,0.92772,1.11994,0.70743,0.78378,0.73635,0.4327,1.22951,0.84593,1.1033,0.000600902,0.000600902,0.000600902
10,5357.44,1.16622,0.91147,1.11156,0.72718,0.72024,0.7381,0.44646,1.2317,0.81351,1.10325,0.000586765,0.000586765,0.000586765
11,6015.58,1.15399,0.87256,1.10674,0.64071,0.7854,0.72923,0.44347,1.18589,0.79449,1.0941,0.000572628,0.000572628,0.000572628
12,6743.68,1.13829,0.85666,1.09652,0.76308,0.795,0.75708,0.44912,1.17163,0.77314,1.07855,0.000558491,0.000558491,0.000558491
13,7453.14,1.12311,0.84343,1.09132,0.70495,0.76715,0.74019,0.44052,1.1777,0.76798,1.08766,0.000544354,0.000544354,0.000544354
14,8168.28,1.1202,0.83187,1.08588,0.66543,0.78954,0.75785,0.46856,1.1569,0.78429,1.0737,0.000530216,0.000530216,0.000530216
15,8866.32,1.10655,0.81751,1.07661,0.64906,0.76488,0.73121,0.44305,1.19716,0.77232,1.09009,0.000516079,0.000516079,0.000516079
16,9533.83,1.09897,0.79875,1.07115,0.6751,0.79096,0.75808,0.45764,1.17228,0.75166,1.07896,0.000501942,0.000501942,0.000501942
17,10087.4,1.08676,0.78517,1.06174,0.62378,0.78805,0.73519,0.46952,1.16059,0.73793,1.07942,0.000487805,0.000487805,0.000487805
18,10623.8,1.07704,0.77552,1.0585,0.68891,0.77807,0.74646,0.4723,1.14662,0.73241,1.0726,0.000473668,0.000473668,0.000473668
19,11187.7,1.06732,0.76085,1.05656,0.69663,0.75499,0.76111,0.46026,1.14206,0.73462,1.07012,0.00045953,0.00045953,0.00045953
